date,equity,cash,position_value
2024-01-02,1000000.0,1000000.0,0.0
2024-01-03,1000000.0,1000000.0,0.0
2024-01-04,1000000.0,1000000.0,0.0
2024-01-05,1000000.0,1000000.0,0.0
2024-01-08,1000000.0,1000000.0,0.0
2024-01-09,1000000.0,1000000.0,0.0
2024-01-10,1000000.0,1000000.0,0.0
2024-01-11,1000000.0,1000000.0,0.0
2024-01-12,1000000.0,1000000.0,0.0
2024-01-15,1000000.0,1000000.0,0.0
2024-01-16,1000000.0,1000000.0,0.0
2024-01-17,1000000.0,1000000.0,0.0
2024-01-18,1000000.0,1000000.0,0.0
2024-01-19,1000000.0,1000000.0,0.0
2024-01-22,1000000.0,1000000.0,0.0
2024-01-23,1000000.0,1000000.0,0.0
2024-01-24,1000000.0,1000000.0,0.0
2024-01-25,1000000.0,1000000.0,0.0
2024-01-26,1000000.0,1000000.0,0.0
2024-01-29,1000000.0,1000000.0,0.0
2024-01-30,1000000.0,1000000.0,0.0
2024-01-31,1000000.0,1000000.0,0.0
2024-02-01,1000000.0,1000000.0,0.0
2024-02-02,1000000.0,1000000.0,0.0
2024-02-05,1000000.0,1000000.0,0.0
2024-02-06,1000000.0,1000000.0,0.0
2024-02-07,1000000.0,1000000.0,0.0
2024-02-08,1000000.0,1000000.0,0.0
2024-02-19,1000000.0,1000000.0,0.0
2024-02-20,1000000.0,1000000.0,0.0
2024-02-21,1000000.0,1000000.0,0.0
2024-02-22,1000000.0,1000000.0,0.0
2024-02-23,1000000.0,1000000.0,0.0
2024-02-26,1000000.0,1000000.0,0.0
2024-02-27,1000000.0,1000000.0,0.0
2024-02-28,1000000.0,1000000.0,0.0
2024-02-29,1000000.0,1000000.0,0.0
2024-03-01,1000000.0,1000000.0,0.0
2024-03-04,1000000.0,1000000.0,0.0
2024-03-05,1000000.0,1000000.0,0.0
2024-03-06,1000000.0,1000000.0,0.0
2024-03-07,1000000.0,1000000.0,0.0
2024-03-08,1000000.0,1000000.0,0.0
2024-03-11,1000000.0,1000000.0,0.0
2024-03-12,1000000.0,1000000.0,0.0
2024-03-13,1000000.0,1000000.0,0.0
2024-03-14,1000000.0,1000000.0,0.0
2024-03-15,1000000.0,1000000.0,0.0
2024-03-18,1000000.0,1000000.0,0.0
2024-03-19,1000000.0,1000000.0,0.0
2024-03-20,1000000.0,1000000.0,0.0
2024-03-21,999753.05,49947.05000000005,949806.0
2024-03-22,988027.0500000002,49947.05000000005,938080.0000000001
2024-03-25,991103.7000000001,991103.7000000001,0.0
2024-03-26,990859.02,49795.020000000135,941063.9999999999
2024-03-27,983572.0200000003,49795.020000000135,933777.0000000001
2024-03-28,979408.0200000001,49795.020000000135,929613.0
2024-03-29,982531.0200000003,49795.020000000135,932736.0000000001
2024-04-01,995023.0200000001,49795.020000000135,945228.0
2024-04-02,985654.0200000001,49795.020000000135,935859.0
2024-04-03,976285.0200000001,49795.020000000135,926490.0
2024-04-08,973162.02,49795.020000000135,923366.9999999999
2024-04-09,970039.0200000001,49795.020000000135,920244.0
2024-04-10,956403.2500000002,956403.2500000002,0.0
2024-04-11,956403.2500000002,956403.2500000002,0.0
2024-04-12,956403.2500000002,956403.2500000002,0.0
2024-04-15,956403.2500000002,956403.2500000002,0.0
2024-04-16,956403.2500000002,956403.2500000002,0.0
2024-04-17,956403.2500000002,956403.2500000002,0.0
2024-04-18,956403.2500000002,956403.2500000002,0.0
2024-04-19,956167.0600000003,47732.06000000017,908435.0000000001
2024-04-22,937262.0600000002,47732.06000000017,889530.0
2024-04-23,941242.0600000002,47732.06000000017,893510.0
2024-04-24,940247.0600000003,47732.06000000017,892515.0000000001
2024-04-25,948207.0600000003,47732.06000000017,900475.0000000001
2024-04-26,947212.06,47732.06000000017,899479.9999999999
2024-04-29,968107.0600000002,47732.06000000017,920375.0
2024-04-30,966117.0600000002,47732.06000000017,918385.0
2024-05-06,976067.0600000002,47732.06000000017,928335.0
2024-05-07,975072.0600000002,47732.06000000017,927340.0
2024-05-08,960147.0600000002,47732.06000000017,912415.0
2024-05-09,963132.06,47732.06000000017,915399.9999999999
2024-05-10,981042.0600000003,47732.06000000017,933310.0000000001
2024-05-13,984027.0600000002,47732.06000000017,936295.0
2024-05-14,978057.0600000002,47732.06000000017,930325.0
2024-05-15,970097.0600000002,47732.06000000017,922365.0
