date,equity,cash,position_value
2024-01-02,1000000.0,1000000.0,0.0
2024-01-03,1000000.0,1000000.0,0.0
2024-01-04,1000000.0,1000000.0,0.0
2024-01-05,1000000.0,1000000.0,0.0
2024-01-08,1000000.0,1000000.0,0.0
2024-01-09,1000000.0,1000000.0,0.0
2024-01-10,1000000.0,1000000.0,0.0
2024-01-11,1000000.0,1000000.0,0.0
2024-01-12,1000000.0,1000000.0,0.0
2024-01-15,1000000.0,1000000.0,0.0
2024-01-16,1000000.0,1000000.0,0.0
2024-01-17,1000000.0,1000000.0,0.0
2024-01-18,1000000.0,1000000.0,0.0
2024-01-19,1000000.0,1000000.0,0.0
2024-01-22,1000000.0,1000000.0,0.0
2024-01-23,1000000.0,1000000.0,0.0
2024-01-24,1000000.0,1000000.0,0.0
2024-01-25,1000000.0,1000000.0,0.0
2024-01-26,1000000.0,1000000.0,0.0
2024-01-29,1000000.0,1000000.0,0.0
2024-01-30,1000000.0,1000000.0,0.0
2024-01-31,1000000.0,1000000.0,0.0
2024-02-01,1000000.0,1000000.0,0.0
2024-02-02,1000000.0,1000000.0,0.0
2024-02-05,1000000.0,1000000.0,0.0
2024-02-06,1000000.0,1000000.0,0.0
2024-02-07,1000000.0,1000000.0,0.0
2024-02-08,1000000.0,1000000.0,0.0
2024-02-19,1000000.0,1000000.0,0.0
2024-02-20,1000000.0,1000000.0,0.0
2024-02-21,1000000.0,1000000.0,0.0
2024-02-22,1000000.0,1000000.0,0.0
2024-02-23,1000000.0,1000000.0,0.0
2024-02-26,1000000.0,1000000.0,0.0
2024-02-27,1000000.0,1000000.0,0.0
2024-02-28,1000000.0,1000000.0,0.0
2024-02-29,1000000.0,1000000.0,0.0
2024-03-01,1000000.0,1000000.0,0.0
2024-03-04,1000000.0,1000000.0,0.0
2024-03-05,1000000.0,1000000.0,0.0
2024-03-06,1000000.0,1000000.0,0.0
2024-03-07,1000000.0,1000000.0,0.0
2024-03-08,1000000.0,1000000.0,0.0
2024-03-11,1000000.0,1000000.0,0.0
2024-03-12,1000000.0,1000000.0,0.0
2024-03-13,1000000.0,1000000.0,0.0
2024-03-14,1000000.0,1000000.0,0.0
2024-03-15,1000000.0,1000000.0,0.0
2024-03-18,1000000.0,1000000.0,0.0
2024-03-19,1000000.0,1000000.0,0.0
2024-03-20,1000000.0,1000000.0,0.0
2024-03-21,999748.25039908,799988.64947908,199759.60092
2024-03-22,997649.5344390799,799988.64947908,197660.88495999994
2024-03-25,997964.5198246799,997964.5198246799,0.0
2024-03-26,997714.2770122,799151.4645322,198562.81247999996
2024-03-27,996403.0131562001,799151.4645322,197251.54862400005
2024-03-28,995653.7195242001,799151.4645322,196502.25499200006
2024-03-29,996215.6897482,799151.4645322,197064.225216
2024-04-01,998463.5706442,799151.4645322,199312.10611199995
2024-04-02,996777.6599721999,799151.4645322,197626.19543999992
2024-04-03,995091.7493002,799151.4645322,195940.284768
2024-04-08,994529.7790762,799151.4645322,195378.31454399996
2024-04-09,993967.8088521999,799151.4645322,194816.34431999992
2024-04-10,991284.969492776,991284.969492776,0.0
2024-04-11,991284.969492776,991284.969492776,0.0
2024-04-12,991284.969492776,991284.969492776,0.0
2024-04-15,991284.969492776,991284.969492776,0.0
2024-04-16,991284.969492776,991284.969492776,0.0
2024-04-17,991284.969492776,991284.969492776,0.0
2024-04-18,991284.969492776,991284.969492776,0.0
2024-04-19,991036.11200189,793568.62111589,197467.49088599999
2024-04-22,987526.39981589,793568.62111589,193957.77870000002
2024-04-23,988265.28659189,793568.62111589,194696.66547600005
2024-04-24,988080.56489789,793568.62111589,194511.943782
2024-04-25,989558.33844989,793568.62111589,195989.71733400004
2024-04-26,989373.61675589,793568.62111589,195804.99563999998
2024-04-29,993252.7723298899,793568.62111589,199684.15121399995
2024-04-30,992883.32894189,793568.62111589,199314.70782600006
2024-05-06,994730.54588189,793568.62111589,201161.924766
2024-05-07,994545.8241878899,793568.62111589,200977.20307199995
2024-05-08,991774.99877789,793568.62111589,198206.377662
2024-05-09,992329.16385989,793568.62111589,198760.54274399998
2024-05-10,995654.15435189,793568.62111589,202085.533236
2024-05-13,996208.31943389,793568.62111589,202639.69831800007
2024-05-14,995099.98926989,793568.62111589,201531.36815400003
2024-05-15,993622.21571789,793568.62111589,200053.59460199997
2024-05-16,999902.75331389,793568.62111589,206334.13219799998
2024-05-17,1004520.79566389,793568.62111589,210952.17454799998
2024-05-20,1003781.9088878899,793568.62111589,210213.28777199995
2024-05-21,1006922.17768589,793568.62111589,213353.55657000002
2024-05-22,1007106.89937989,793568.62111589,213538.27826399996
2024-05-23,1004151.35227589,793568.62111589,210582.73115999997
2024-05-24,1002488.85702989,793568.62111589,208920.23591399996
2024-05-27,1006183.29090989,793568.62111589,212614.669794
2024-05-28,1004151.35227589,793568.62111589,210582.73115999997
2024-05-29,1001565.24855989,793568.62111589,207996.62744399998
2024-05-30,998979.14484389,793568.62111589,205410.523728
2024-05-31,998794.42314989,793568.62111589,205225.80203400005
