date,symbol,action,price,volume,fees,reason
2024-03-21,000001,buy,9.09,22000,51.99,MA5上穿MA20
2024-03-25,000001,sell,9.01,22000,249.76,MA5下穿MA20
2024-03-26,000001,buy,9.2,21600,51.68,MA5上穿MA20
2024-04-10,000001,sell,8.91,21600,242.39,MA5下穿MA20
2024-04-19,000001,buy,9.28,21300,51.39,MA5上穿MA20
2024-06-04,000001,sell,9.55,21300,256.23,MA5下穿MA20
2024-07-01,000001,buy,9.63,20700,51.81,MA5上穿MA20
2024-07-09,000001,sell,9.35,20700,243.8,MA5下穿MA20
2024-07-15,000001,buy,9.61,20600,51.46,MA5上穿MA20
2024-07-25,000001,sell,9.37,20600,243.11,MA5下穿MA20
2024-08-20,000001,buy,9.62,20400,51.01,MA5上穿MA20
2024-09-03,000001,sell,9.36,20400,240.51,MA5下穿MA20
2024-09-25,000001,buy,9.77,20000,50.78,MA5上穿MA20
2024-10-29,000001,sell,10.95,20000,275.85,MA5下穿MA20
2024-11-13,000001,buy,11.03,18100,51.93,MA5上穿MA20
2024-11-14,000001,sell,10.95,18100,249.64,MA5下穿MA20
2024-11-20,000001,buy,11.06,18000,51.78,MA5上穿MA20
2024-11-25,000001,sell,10.6,18000,240.52,MA5下穿MA20
2024-12-06,000001,buy,11.08,17900,51.58,MA5上穿MA20
