date,symbol,action,price,volume,fees
2024-03-21,000001,buy,8.91,106600,246.95
2024-03-25,000001,sell,8.84,106600,1187.35
2024-03-26,000001,buy,9.04,104100,244.68
2024-04-10,000001,sell,8.72,104100,1143.77
2024-04-19,000001,buy,9.13,99500,236.19
2024-06-04,000001,sell,9.46,99500,1186.0
2024-07-01,000001,buy,9.51,98600,243.8
2024-07-09,000001,sell,9.23,98600,1146.7
2024-07-15,000001,buy,9.49,95900,236.62
2024-07-25,000001,sell,9.25,95900,1117.71
2024-08-20,000001,buy,9.5,93400,230.7
2024-09-03,000001,sell,9.24,93400,1087.4
2024-09-25,000001,buy,9.66,89300,224.29
2024-10-29,000001,sell,10.94,89300,1230.95
2024-11-13,000001,buy,11.01,88100,252.2
2024-11-14,000001,sell,10.94,88100,1214.41
2024-11-20,000001,buy,11.04,87200,250.3
2024-11-25,000001,sell,10.58,87200,1162.45
2024-12-06,000001,buy,11.06,83500,240.11
